ID,TP,TN,FP,FN,RECALL,PRECISION,R0,R1,R2,R3,R4,R5,R6,R7,P0,P1,P2,P3,P4,P5,P6,P7
48,1,33,7,11,0.083333336,0.125,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
49,0,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,44,7,0,1,0.125,1,1,1,1,1,1,1,1,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
58,3,17,5,27,0.1,0.375,0.033333335,0.06666667,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,0.75,0.6,0.5,0.42857143,0.375
59,5,6,3,38,0.11627907,0.625,0.023255814,0.046511628,0.069767445,0.069767445,0.093023255,0.11627907,0.11627907,0.11627907,1,1,1,0.75,0.8,0.8333333,0.71428573,0.625
60,4,21,4,23,0.14814815,0.5,0.037037037,0.074074075,0.11111111,0.11111111,0.11111111,0.14814815,0.14814815,0.14814815,1,1,1,0.75,0.6,0.6666667,0.5714286,0.5
61,6,19,2,25,0.19354838,0.75,0.032258064,0.032258064,0.06451613,0.09677419,0.12903225,0.16129032,0.16129032,0.19354838,1,0.5,0.6666667,0.75,0.8,0.8333333,0.71428573,0.75
62,0,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,7,39,1,5,0.5833333,0.875,0.083333336,0.16666667,0.25,0.25,0.33333334,0.41666666,0.5,0.5833333,1,1,1,0.75,0.8,0.8333333,0.85714287,0.875
64,1,44,7,0,1,0.125,1,1,1,1,1,1,1,1,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
